시군구,주택유형,연면적(㎡),대지면적(㎡),계약일,거래금액(만원),건축년도,도로명
 서울특별시 강북구 수유동,단독,159.91,172,1~10,"61,000",1978,수유로17길
 서울특별시 강북구 수유동,단독,191.38,198,21~31,"68,000",1983,한천로166길
 서울특별시 강북구 수유동,단독,94.14,202,1~10,"50,000",1966,수유로17나길
 서울특별시 강북구 수유동,단독,76,238,21~31,"86,400",1961,한천로166길
 서울특별시 강북구 수유동,단독,159.3,238,11~20,"86,400",1976,삼양로123길
 서울특별시 강북구 수유동,단독,268.57,250,1~10,"60,000",1982,노해로21길
 서울특별시 강북구 우이동,다가구,396.74,182,1~10,"84,000",1994,삼양로155가길
 서울특별시 강서구 공항동,다가구,365.51,169.3,21~31,"84,000",2002,방화대로6마길
 서울특별시 강서구 공항동,다가구,386.97,174.4,11~20,"86,000",2003,방화대로6다길
 서울특별시 강서구 공항동,다가구,312.96,197,21~31,"80,000",1997,공항대로11길
 서울특별시 강서구 공항동,단독,76.69,172,11~20,"50,000",1968,공항대로5길
 서울특별시 강서구 공항동,단독,248.76,201.9,11~20,"70,000",1989,송정로
 서울특별시 강서구 내발산동,단독,211.68,190.1,11~20,"83,000",1988,우장산로4길
 서울특별시 강서구 등촌동,다가구,277.32,137.8,21~31,"82,000",1993,공항대로59가길
 서울특별시 강서구 등촌동,다가구,178.6,145,21~31,"60,000",1984,등촌로13나길
 서울특별시 강서구 등촌동,다가구,288.25,149,21~31,"59,500",1992,등촌로35가길
 서울특별시 강서구 등촌동,다가구,310.27,153.2,21~31,"107,500",1987,화곡로66길
 서울특별시 강서구 등촌동,단독,80.9,145,11~20,"40,100",1975,등촌로13나길
 서울특별시 강서구 등촌동,단독,244.84,145,11~20,"58,300",1991,등촌로13나길
 서울특별시 강서구 등촌동,단독,110.08,166,21~31,"52,000",1980,등촌로35가길
 서울특별시 강서구 등촌동,단독,113.53,183.8,11~20,"67,000",1979,등촌로39라길
 서울특별시 강서구 등촌동,단독,126.91,198,21~31,"85,000",1982,등촌로13나길
 서울특별시 강서구 방화동,다가구,111.83,132,21~31,"45,750",1971,방화대로23길
 서울특별시 강서구 방화동,다가구,274.43,146,21~31,"89,700",2014,금낭화로
 서울특별시 강서구 방화동,다가구,250.29,165,11~20,"59,000",1993,금낭화로9길
 서울특별시 강서구 방화동,단독,54.55,116,21~31,"56,000",1980,양천로14나길
 서울특별시 강서구 방화동,단독,236.98,149,21~31,"58,700",1988,양천로30길
 서울특별시 강서구 방화동,단독,50.91,162,11~20,"52,000",1970,초원로11길
 서울특별시 강서구 방화동,단독,246.48,169,11~20,"65,000",1989,금낭화로9길
 서울특별시 강서구 방화동,단독,194.7,179,11~20,"65,500",1978,초원로2길
 서울특별시 강서구 방화동,단독,290.07,179,21~31,"79,500",1992,초원로4길
 서울특별시 강서구 방화동,단독,241.56,181,1~10,"79,000",1986,금낭화로11길
 서울특별시 강서구 방화동,단독,183.14,184,21~31,"55,500",1978,개화동로27길
 서울특별시 강서구 화곡동,다가구,163.62,109.4,1~10,"45,500",1990,강서로17다길
 서울특별시 강서구 화곡동,다가구,179.02,116,21~31,"41,300",1995,화곡로
 서울특별시 강서구 화곡동,다가구,263.32,126.9,1~10,"53,200",1996,등촌로3나길
 서울특별시 강서구 화곡동,다가구,228.18,130.9,21~31,"50,500",1991,곰달래로53길
 서울특별시 강서구 화곡동,다가구,193.49,133.1,21~31,"50,300",1990,월정로28가길
 서울특별시 강서구 화곡동,다가구,230.51,136.5,11~20,"55,000",1989,강서로45다길
 서울특별시 강서구 화곡동,다가구,290.4,138.4,1~10,"79,500",1991,가로공원로76가길
 서울특별시 강서구 화곡동,다가구,218.97,147,21~31,"66,800",1989,곰달래로19나길
 서울특별시 강서구 화곡동,다가구,299.87,147.1,21~31,"97,500",1997,강서로34길
 서울특별시 강서구 화곡동,다가구,218.64,147.4,1~10,"47,000",1989,가로공원로80가길
 서울특별시 강서구 화곡동,다가구,237.36,147.4,1~10,"43,000",1992,등촌로5길
